year,cal_fire_fires,cal_fire_acres,fed_fires,fed_fire_acres,local_fires,local_fire_acres,total_fires,total_fire_acres
1987,8062,87000,4374,744000,1040,42000,13476,873000
1988,8121,191000,4160,96000,1009,58000,13290,345000
1989,6635,73600,2547,87800,842,12000,10024,173400
1990,7283,212100,2670,128100,595,25000,10548,365200
1991,6271,23100,2681,18800,657,2300,9609,44200
1992,7939,191490,3682,86340,426,4915,12047,282745
1993,6688,122606,1774,67646,227,119527,8689,309779
1994,7207,140792,2698,359227,364,26200,10269,526219
1995,6601,121198,1563,78414,328,10203,8492,209815
1996,7237,232624,2637,488010,736,31738,10610,752372
1997,6835,57788,2180,198431,487,27666,9502,283885
1998,5227,92456,1860,90246,485,32710,7572,215412
1999,7562,285272,3139,865621,424,21957,11125,1172850
2000,5177,72718,1884,218578,561,3730,7622,295026
2001,6223,90985,2567,275152,527,11203,9317,377340
2002,5759,112810,1837,366842,575,58564,8171,538216
2003,5961,404328,1783,399635,543,161807,8287,965770
2004,5574,168134,1852,110082,472,32808,7898,311024
2005,4908,74004,1604,139399,725,65811,7237,279214
2006,4805,222896,2400,603378,650,37071,7855,863345
2007,3610,434667,1932,990730,501,95565,6043,1520362
2008,3593,380310,2203,1153973,459,59407,6255,1593690
2009,2858,75960,1820,339908,2332,36101,7010,451969
2010,2434,25438,1616,98871,2344,10153,6394,134462
2011,3056,51889,2021,73124,2655,103586,7732,228599
2012,2922,128956,1562,687013,2557,13255,7041,829224
2013,3672,114473,2213,450126,3004,37036,8889,601635
2014,2920,163067,1960,451810,2353,10663,7233,625540
2015,3231,291282,2184,577115,2868,6137,8283,880899
2016,2816,215671,1215,394910,2923,12078,6954,622659
